
> financial-wallet-frontend@0.1.0 dev
> next dev

▲ Next.js 16.1.6 (Turbopack)
- Local:         http://localhost:3000
- Network:       http://192.168.56.1:3000
- Environments: .env.local

✓ Starting...
Creating turbopack project { dir: 'D:\\HK6 UIT\\DA1\\financial-wallet-frontend', testMode: true }
✓ Ready in 1191ms
 GET /login 200 in 66ms (compile: 4ms, proxy.ts: 2ms, render: 60ms)
 GET /login 200 in 47ms (compile: 4ms, proxy.ts: 2ms, render: 41ms)
 GET /login 200 in 43ms (compile: 3ms, proxy.ts: 2ms, render: 38ms)
 GET /login 200 in 22ms (compile: 3ms, proxy.ts: 2ms, render: 17ms)
 GET /login 200 in 68ms (compile: 3ms, proxy.ts: 2ms, render: 63ms)
 GET /login 200 in 68ms (compile: 3ms, proxy.ts: 2ms, render: 63ms)
 GET /login 200 in 75ms (compile: 4ms, proxy.ts: 2ms, render: 69ms)
 GET /login 200 in 75ms (compile: 4ms, proxy.ts: 3ms, render: 68ms)
 GET /login 200 in 78ms (compile: 4ms, proxy.ts: 2ms, render: 72ms)
 GET /login 200 in 55ms (compile: 4ms, proxy.ts: 3ms, render: 48ms)
 GET /login 200 in 33ms (compile: 3ms, proxy.ts: 2ms, render: 28ms)
 GET /login 200 in 20ms (compile: 2ms, proxy.ts: 2ms, render: 16ms)
 GET /login 200 in 28ms (compile: 3ms, proxy.ts: 2ms, render: 23ms)
 GET /login 200 in 96ms (compile: 3ms, proxy.ts: 3ms, render: 91ms)
 GET /login 200 in 144ms (compile: 3ms, proxy.ts: 2ms, render: 139ms)
 GET /login 200 in 124ms (compile: 4ms, proxy.ts: 3ms, render: 118ms)
 GET /login 200 in 109ms (compile: 7ms, proxy.ts: 5ms, render: 97ms)
 GET /login 200 in 66ms (compile: 3ms, proxy.ts: 2ms, render: 61ms)
 GET /login 200 in 61ms (compile: 4ms, proxy.ts: 2ms, render: 54ms)
 GET /login 200 in 60ms (compile: 3ms, proxy.ts: 1894µs, render: 55ms)
 GET /login 200 in 61ms (compile: 3ms, proxy.ts: 2ms, render: 55ms)
 GET /login 200 in 60ms (compile: 3ms, proxy.ts: 1942µs, render: 55ms)
 GET /login 200 in 59ms (compile: 3ms, proxy.ts: 2ms, render: 54ms)
